epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.2785,0.84131,2.6361,1.35938,0.00333,1,0.72908,0.45752,1.03605,3.2409,2.18109,0.00014,0.00014,0.00014
2,139.057,0.5431,2.10407,1.15529,0.00333,1,0.95951,0.78107,0.5081,3.12446,1.12047,0.00029703,0.00029703,0.00029703
3,198.504,0.52967,1.63291,1.09254,0.00333,1,0.78514,0.4749,1.1655,3.66077,1.45854,0.000450892,0.000450892,0.000450892
4,243.343,0.55562,1.31795,1.10449,0.95962,0.72032,0.96309,0.69327,0.79649,3.2248,1.32493,0.000601586,0.000601586,0.000601586
5,288.408,0.55585,1.0783,1.13653,0.95039,0.75758,0.90013,0.67168,1.60891,3.00057,1.88044,0.000749112,0.000749112,0.000749112
6,363.465,0.56138,0.95894,1.09805,0.89779,0.57576,0.67689,0.45431,1.06485,3.6927,1.7177,0.00089347,0.00089347,0.00089347
7,431.268,0.56896,0.98872,1.1171,0.90171,0.83425,0.92153,0.68624,0.82379,2.82558,1.46756,0.00103466,0.00103466,0.00103466
8,560.569,0.53361,0.96931,1.09403,0.77198,0.57576,0.69749,0.45766,2.36507,5.03103,2.55918,0.00117268,0.00117268,0.00117268
9,691.366,0.58345,0.97611,1.13979,0.50813,0.21212,0.2002,0.14095,3.83121,5.12867,3.84092,0.00130754,0.00130754,0.00130754
10,814.773,0.60296,0.9107,1.12246,0.22914,0.12121,0.10677,0.06547,4.00034,5.29858,4.33873,0.00143922,0.00143922,0.00143922
11,934.61,0.63483,0.95937,1.17944,0.37618,0.36364,0.36403,0.21558,3.77404,4.80172,3.94083,0.00156774,0.00156774,0.00156774
12,1060.04,0.60957,0.95437,1.20377,0.81745,0.75758,0.80539,0.46269,1.14826,3.16971,1.93946,0.00169309,0.00169309,0.00169309
13,1163.58,0.60436,0.88848,1.11322,0.5095,0.33333,0.37524,0.2277,1.73503,3.26961,2.2171,0.0017624,0.0017624,0.0017624
14,1247.29,0.62576,0.83249,1.13339,0.65948,0.57576,0.70963,0.30925,1.43377,3.09846,2.5631,0.0017426,0.0017426,0.0017426
